CMDLINE /home/mamm/anaconda3/envs/agar/bin/python test_dqn.py
MEM 2878.265625 1738816006.9854
MEM 2878.265625 1738816007.0875
MEM 2886.390625 1738816007.1891
MEM 2886.390625 1738816007.2893
MEM 2886.390625 1738816007.3896
MEM 2886.390625 1738816007.4898
MEM 2894.390625 1738816007.5929
MEM 2894.390625 1738816007.6938
MEM 2894.390625 1738816007.7941
MEM 2902.515625 1738816007.8944
MEM 2902.515625 1738816007.9956
MEM 2902.515625 1738816008.0980
MEM 2910.515625 1738816008.2007
MEM 2910.515625 1738816008.3010
MEM 2910.515625 1738816008.4013
MEM 2918.765625 1738816008.5018
MEM 2918.765625 1738816008.6025
MEM 2918.765625 1738816008.7028
MEM 2918.890625 1738816008.8041
MEM 2926.890625 1738816008.9044
MEM 2926.890625 1738816009.0063
MEM 2926.890625 1738816009.1066
MEM 2935.265625 1738816009.2069
MEM 2935.265625 1738816009.3101
MEM 2935.265625 1738816009.4104
MEM 2935.265625 1738816009.5107
MEM 2935.265625 1738816009.6109
MEM 2935.265625 1738816009.7112
MEM 2935.265625 1738816009.8116
MEM 2943.265625 1738816009.9129
MEM 2943.265625 1738816010.0147
MEM 2943.265625 1738816010.1153
MEM 2943.265625 1738816010.2155
MEM 2943.265625 1738816010.3181
MEM 2943.265625 1738816010.4184
MEM 2943.265625 1738816010.5187
MEM 2943.265625 1738816010.6190
MEM 2943.265625 1738816010.7193
MEM 2943.265625 1738816010.8195
MEM 2943.265625 1738816010.9198
MEM 2943.265625 1738816011.0201
MEM 2943.265625 1738816011.1203
MEM 2943.265625 1738816011.2218
MEM 2943.265625 1738816011.3226
MEM 2943.265625 1738816011.4237
MEM 2943.265625 1738816011.5241
MEM 2943.265625 1738816011.6254
MEM 2943.265625 1738816011.7271
MEM 2943.265625 1738816011.8274
MEM 2943.265625 1738816011.9276
MEM 2951.390625 1738816012.0278
MEM 2951.390625 1738816012.1282
MEM 2951.390625 1738816012.2295
MEM 2959.515625 1738816012.3298
MEM 2959.515625 1738816012.4301
MEM 2959.515625 1738816012.5307
MEM 2959.515625 1738816012.6311
